
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
56:A6:E6:C0:9E:70, 2024-06-24 16:50:02, 2024-06-24 16:50:16,  7, 270, WPA2, CCMP, PSK, -46,       23,       27,   0.  0.  0.  0,  22, Wifieri’s Flavortown, 
56:A6:E6:C0:9E:77, 2024-06-24 16:50:02, 2024-06-24 16:50:16,  7, 270, WPA2, CCMP, PSK, -49,       20,       36,   0.  0.  0.  0,  16, , 
1C:8B:76:6D:C0:12, 2024-06-24 16:50:02, 2024-06-24 16:50:15,  6, 360, WPA2, CCMP, PSK, -55,       15,        0,   0.  0.  0.  0,   9, serrano12, 
00:13:EF:11:AB:0A, 2024-06-24 16:50:02, 2024-06-24 16:50:14,  7, 270, WPA2, CCMP, PSK, -64,        3,        0,   0.  0.  0.  0,  13, Jdensley6-ext, 
CA:06:C3:2F:A4:33, 2024-06-24 16:50:02, 2024-06-24 16:50:16,  7, 270, WPA2, CCMP, PSK, -55,       22,        5,   0.  0.  0.  0,  16, , 
CA:06:C3:2F:A4:34, 2024-06-24 16:50:02, 2024-06-24 16:50:16,  7, 270, WPA2, CCMP, PSK, -55,       22,       13,   0.  0.  0.  0,   9, Jdensley6, 
CE:6C:6D:8A:50:BF, 2024-06-24 16:50:02, 2024-06-24 16:50:16,  6, 260, WPA2, CCMP, PSK, -72,        7,        0,   0.  0.  0.  0,   0, , 
80:CC:9C:3D:1B:F2, 2024-06-24 16:50:02, 2024-06-24 16:50:16,  3, 130, WPA2, CCMP, PSK, -49,       25,        1,   0.  0.  0.  0,  14, NotYourSignal2, 
E8:9F:80:76:AE:34, 2024-06-24 16:50:02, 2024-06-24 16:50:16,  1, 130, WPA2, CCMP, PSK, -75,       18,        0,   0.  0.  0.  0,   5, kdkyt, 
A4:22:49:C7:B0:06, 2024-06-24 16:50:02, 2024-06-24 16:50:14,  1, 720, WPA3 WPA2, CCMP, SAE PSK, -72,        5,        0,   0.  0.  0.  0,   3, VCM, 
44:1C:12:4D:40:BB, 2024-06-24 16:50:02, 2024-06-24 16:50:10,  1, 130, WPA2, CCMP, PSK, -80,        2,        0,   0.  0.  0.  0,  13, Southern bell, 
5C:76:95:3B:B4:C3, 2024-06-24 16:50:02, 2024-06-24 16:50:15,  1, 130, WPA2, CCMP, PSK, -72,        6,        0,   0.  0.  0.  0,   0, , 
B8:94:70:87:2B:DA, 2024-06-24 16:50:02, 2024-06-24 16:50:16,  1, 360, WPA2, CCMP, PSK, -37,       11,       13,   0.  0.  0.  0,  10, 8 Cow Wifi, 
DA:94:70:87:2B:DA, 2024-06-24 16:50:02, 2024-06-24 16:50:16,  1, 360, WPA2, CCMP, PSK, -37,       17,        0,   0.  0.  0.  0,   0, , 
04:BC:9F:8E:7E:36, 2024-06-24 16:50:02, 2024-06-24 16:50:15,  1, 360, WPA2, CCMP, PSK, -66,        8,        2,   0.  0.  0.  0,   7, Delgado, 
AE:DB:48:6C:31:6A, 2024-06-24 16:50:02, 2024-06-24 16:50:14,  1, 260, WPA2, CCMP, PSK, -72,        4,        0,   0.  0.  0.  0,   0, , 
06:93:7C:56:C8:4F, 2024-06-24 16:50:02, 2024-06-24 16:50:10,  1, 260, WPA2, CCMP, PSK, -78,        2,        0,   0.  0.  0.  0,   0, , 
60:B7:6E:62:AA:62, 2024-06-24 16:50:02, 2024-06-24 16:50:14,  1, 130, WPA2, CCMP, PSK, -78,        3,        0,   0.  0.  0.  0,  11, Chavez Nest, 
3E:2D:9E:8C:30:75, 2024-06-24 16:50:02, 2024-06-24 16:50:14,  1, 260, WPA3 WPA2, CCMP, SAE PSK, -66,        1,        0,   0.  0.  0.  0,  10, Wynesswifi, 
26:BC:9F:8E:7E:36, 2024-06-24 16:50:02, 2024-06-24 16:50:15,  1, 360, WPA2, CCMP, PSK, -65,        6,        0,   0.  0.  0.  0,   0, , 
DC:EB:69:BC:ED:67, 2024-06-24 16:50:02, 2024-06-24 16:50:10,  1, 130, WPA2 WPA, CCMP, MGT, -75,        2,        0,   0.  0.  0.  0,   0, , 
08:B4:B1:04:BE:CC, 2024-06-24 16:50:02, 2024-06-24 16:50:06,  1, 130, WPA2, CCMP, PSK, -78,        2,        0,   0.  0.  0.  0,  16, Hogwarts Express, 
5C:76:95:3B:B4:C1, 2024-06-24 16:50:02, 2024-06-24 16:50:10,  1, 130, WPA2, CCMP, PSK, -73,        4,        0,   0.  0.  0.  0,   0, , 
5C:76:95:3B:B4:C5, 2024-06-24 16:50:02, 2024-06-24 16:50:10,  1, 130, WPA2 WPA, CCMP, MGT, -74,        4,        0,   0.  0.  0.  0,   0, , 
98:F7:81:B3:67:72, 2024-06-24 16:50:03, 2024-06-24 16:50:14, 11, 360, WPA2, CCMP, PSK, -69,        8,        0,   0.  0.  0.  0,   9, cleoshome, 
3C:7A:8A:5A:25:0C, 2024-06-24 16:50:03, 2024-06-24 16:50:14, 11, 195, WPA2, CCMP, PSK, -72,        0,        0,   0.  0.  0.  0,  14, Whats the WiFi, 
C8:9E:43:47:D5:28, 2024-06-24 16:50:03, 2024-06-24 16:50:16,  3, 130, WPA2, CCMP, PSK, -63,       16,        1,   0.  0.  0.  0,  14, NotYourSignal2, 
C8:9E:43:47:D5:48, 2024-06-24 16:50:03, 2024-06-24 16:50:16,  3, 130, WPA2, CCMP, PSK, -61,       14,        1,   0.  0.  0.  0,  14, NotYourSignal2, 
D4:6C:6D:8A:50:BF, 2024-06-24 16:50:03, 2024-06-24 16:50:10,  6, 260, WPA2, CCMP, PSK, -68,        1,        1,   0.  0.  0.  0,   7, fabfour, 
34:60:F9:C1:1A:86, 2024-06-24 16:50:03, 2024-06-24 16:50:03,  7, 270, WPA2, CCMP, PSK, -79,        1,        0,   0.  0.  0.  0,   9, wifihubby, 
DA:94:70:83:48:D3, 2024-06-24 16:50:04, 2024-06-24 16:50:14, 11, 360, WPA2, CCMP, PSK, -70,        9,        0,   0.  0.  0.  0,   0, , 
3C:7C:3F:31:EC:38, 2024-06-24 16:50:05, 2024-06-24 16:50:14, 10, 195, WPA2, CCMP, PSK, -63,        9,        2,   0.  0.  0.  0,   6, Hunter, 
B8:94:70:83:48:D3, 2024-06-24 16:50:05, 2024-06-24 16:50:15, 11, 360, WPA2 WPA, CCMP, PSK, -77,        9,        1,   0.  0.  0.  0,   6, Shurtz, 
D6:6C:6D:8A:50:BF, 2024-06-24 16:50:05, 2024-06-24 16:50:14,  6, 260, WPA2, CCMP, MGT, -66,        8,        0,   0.  0.  0.  0,   0, , 
5C:60:BA:A9:7C:0B, 2024-06-24 16:50:05, 2024-06-24 16:50:05,  6,  65, WPA2, CCMP, PSK, -78,        0,        0,   0.  0.  0.  0,  32, DIRECT-0A-HP DeskJet 3700 series, 
3E:8B:76:6D:C0:12, 2024-06-24 16:50:05, 2024-06-24 16:50:16,  6, 360, WPA2, CCMP, PSK, -58,       11,        0,   0.  0.  0.  0,   0, , 
1E:9E:CC:5A:0E:6A, 2024-06-24 16:50:05, 2024-06-24 16:50:09, 11, 260, WPA2, CCMP, PSK, -36,        1,       25,   0.  0.  0.  0,  10, Gateway310, 
3E:7A:8A:5A:25:0C, 2024-06-24 16:50:05, 2024-06-24 16:50:14, 11, 195, WPA2, CCMP TKIP, PSK, -72,        3,        0,   0.  0.  0.  0,   0, , 
3E:82:C0:EA:BB:DC, 2024-06-24 16:50:05, 2024-06-24 16:50:14, 11, 260, WPA2, CCMP, PSK, -62,        7,        0,   0.  0.  0.  0,   0, , 
3E:82:C0:EA:BB:DE, 2024-06-24 16:50:05, 2024-06-24 16:50:14, 11, 260, WPA2, CCMP, PSK, -63,        6,        0,   0.  0.  0.  0,   0, , 
1E:9E:CC:5A:0E:6D, 2024-06-24 16:50:05, 2024-06-24 16:50:09, 11, 260, WPA2, CCMP, PSK, -36,        2,        0,   0.  0.  0.  0,   0, , 
1E:9E:CC:5A:0E:6F, 2024-06-24 16:50:05, 2024-06-24 16:50:14, 11, 260, WPA2, CCMP, MGT, -38,        4,        0,   0.  0.  0.  0,   0, , 
94:6A:77:B9:A0:81, 2024-06-24 16:50:05, 2024-06-24 16:50:05, 11, 130, WPA2, CCMP, PSK, -79,        1,        0,   0.  0.  0.  0,   0, , 
94:6A:77:B9:A0:85, 2024-06-24 16:50:05, 2024-06-24 16:50:05, 11, 130, WPA2 WPA, CCMP, MGT, -78,        1,        0,   0.  0.  0.  0,   0, , 
C8:7F:54:40:62:B8, 2024-06-24 16:50:05, 2024-06-24 16:50:14, 10, 360, WPA2, CCMP, PSK, -74,        2,        1,   0.  0.  0.  0,   9, birdnest1, 
4A:4B:D4:65:EE:6C, 2024-06-24 16:50:05, 2024-06-24 16:50:14, 11, 260, WPA2, CCMP, PSK, -43,        5,        0,   0.  0.  0.  0,   9, GoalUtes1, 
4A:4B:D4:65:EE:6F, 2024-06-24 16:50:05, 2024-06-24 16:50:14, 11, 260, WPA2, CCMP, PSK, -44,        3,        0,   0.  0.  0.  0,   0, , 
3E:82:C0:EA:BB:D8, 2024-06-24 16:50:05, 2024-06-24 16:50:10, 11, 260, WPA2, CCMP, MGT, -60,        2,        0,   0.  0.  0.  0,   0, , 
3E:82:C0:EA:BB:DB, 2024-06-24 16:50:05, 2024-06-24 16:50:14, 11, 260, WPA2, CCMP, PSK, -62,        5,        0,   0.  0.  0.  0,  11, Wu-Tang Lan, 
3E:51:A4:4E:40:6D, 2024-06-24 16:50:05, 2024-06-24 16:50:05, 11, 195, WPA2, CCMP TKIP, MGT, -80,        1,        0,   0.  0.  0.  0,   0, , 
40:4C:77:79:82:B7, 2024-06-24 16:50:05, 2024-06-24 16:50:05, 11, 130, WPA2, CCMP, PSK, -73,        1,        0,   0.  0.  0.  0,   7, Busty21, 
42:0F:C1:FC:0A:79, 2024-06-24 16:50:05, 2024-06-24 16:50:13, 11, 260, WPA3 WPA2, CCMP, SAE PSK, -72,        2,        0,   0.  0.  0.  0,   4, Rush, 
42:0F:C1:FC:0A:7E, 2024-06-24 16:50:05, 2024-06-24 16:50:05, 11, 260, WPA2, CCMP, MGT, -73,        1,        0,   0.  0.  0.  0,   0, , 
42:0F:C1:FC:0A:7F, 2024-06-24 16:50:05, 2024-06-24 16:50:14, 11, 260, WPA2 WPA, CCMP TKIP, PSK, -72,        3,        0,   0.  0.  0.  0,   0, , 
7E:7A:8A:5A:25:0C, 2024-06-24 16:50:05, 2024-06-24 16:50:05, 11, 195, WPA2, CCMP TKIP, MGT, -72,        1,        0,   0.  0.  0.  0,   0, , 
1E:51:A4:4E:40:6D, 2024-06-24 16:50:05, 2024-06-24 16:50:05, 11, 195, WPA2, CCMP TKIP, PSK, -80,        1,        0,   0.  0.  0.  0,   0, , 
5C:8F:E0:9B:C2:BE, 2024-06-24 16:50:05, 2024-06-24 16:50:14, 11, 195, WPA2, CCMP, PSK, -80,        3,        1,   0.  0.  0.  0,  10, Barattiero, 
F0:B6:61:E2:F5:4A, 2024-06-24 16:50:06, 2024-06-24 16:50:06,  6, 360, OPN, ,   , -59,        1,        0,   0.  0.  0.  0,   0, , 
18:90:88:E3:CF:87, 2024-06-24 16:50:06, 2024-06-24 16:50:14,  6, 360, OPN, ,   , -65,        7,        0,   0.  0.  0.  0,   0, , 
18:90:88:E3:CF:83, 2024-06-24 16:50:06, 2024-06-24 16:50:14,  6, 360, WPA3 WPA2, CCMP, SAE, -64,        7,        0,   0.  0.  0.  0,   0, , 
18:90:88:E3:CF:85, 2024-06-24 16:50:06, 2024-06-24 16:50:14,  6, 360, WPA2, CCMP, PSK, -64,        7,        0,   0.  0.  0.  0,   6, Butler, 
F0:B6:61:E2:DF:44, 2024-06-24 16:50:06, 2024-06-24 16:50:14,  6, 360, WPA3 WPA2, CCMP, SAE, -57,        5,        0,   0.  0.  0.  0,   0, , 
F0:B6:61:E2:DF:4A, 2024-06-24 16:50:06, 2024-06-24 16:50:14,  6, 360, OPN, ,   , -57,        7,        0,   0.  0.  0.  0,   0, , 
E0:63:DA:A7:56:84, 2024-06-24 16:50:06, 2024-06-24 16:50:06,  6, 195, WPA2, CCMP, PSK, -78,        1,        0,   0.  0.  0.  0,  15, woodfield_guest, 
F0:B6:61:E2:00:0A, 2024-06-24 16:50:06, 2024-06-24 16:50:14,  6, 360, OPN, ,   , -64,        4,        0,   0.  0.  0.  0,   0, , 
F0:B6:61:E2:00:07, 2024-06-24 16:50:06, 2024-06-24 16:50:14,  6, 360, WPA2, CCMP, PSK, -64,        4,        0,   0.  0.  0.  0,  10, Baker Buns, 
F0:B6:61:E2:DF:47, 2024-06-24 16:50:06, 2024-06-24 16:50:14,  6, 360, WPA2, CCMP, PSK, -55,        4,        0,   0.  0.  0.  0,  10, Baker Buns, 
00:AB:48:00:3E:E7, 2024-06-24 16:50:06, 2024-06-24 16:50:14,  6, 360, OPN, ,   , -57,        4,        0,   0.  0.  0.  0,   0, , 
00:AB:48:00:3E:E3, 2024-06-24 16:50:06, 2024-06-24 16:50:10,  6, 360, WPA3 WPA2, CCMP, SAE, -55,        4,        0,   0.  0.  0.  0,   0, , 
00:AB:48:00:3E:E5, 2024-06-24 16:50:06, 2024-06-24 16:50:14,  6, 360, WPA2, CCMP, PSK, -58,        6,        0,   0.  0.  0.  0,   6, Butler, 
4C:01:43:F7:82:09, 2024-06-24 16:50:06, 2024-06-24 16:50:10,  6, 360, OPN, ,   , -75,        2,        0,   0.  0.  0.  0,   0, , 
5A:AF:97:39:50:8E, 2024-06-24 16:50:06, 2024-06-24 16:50:13,  6,  -1, WPA, ,   , -78,        0,        2,   0.  0.  0.  0,   0, , 
F0:B6:61:E2:00:04, 2024-06-24 16:50:06, 2024-06-24 16:50:14,  6, 360, WPA3 WPA2, CCMP, SAE, -63,        3,        0,   0.  0.  0.  0,   0, , 
C6:6C:6D:8A:50:BF, 2024-06-24 16:50:06, 2024-06-24 16:50:10,  6, 260, WPA2, CCMP, PSK, -68,        2,        0,   0.  0.  0.  0,   0, , 
3E:8B:76:6D:BF:D0, 2024-06-24 16:50:06, 2024-06-24 16:50:14, 11, 360, WPA2, CCMP, PSK, -77,        3,        0,   0.  0.  0.  0,   0, , 
82:AC:B9:38:2D:9F, 2024-06-24 16:50:06, 2024-06-24 16:50:10,  1, 720, WPA2, CCMP, PSK, -71,        0,        3,   0.  0.  0.  0,  19, zzxyyzz69-Router-2X, 
94:18:65:3C:41:ED, 2024-06-24 16:50:06, 2024-06-24 16:50:06,  1,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
BA:5E:71:51:B4:06, 2024-06-24 16:50:06, 2024-06-24 16:50:15,  1, 260, WPA2, CCMP, PSK, -76,        2,        4,   0.  0.  0.  0,  11, Wu-Tang LAN, 
5C:76:95:3B:B4:C6, 2024-06-24 16:50:06, 2024-06-24 16:50:06,  1, 130, WPA2, CCMP, PSK, -72,        1,        0,   0.  0.  0.  0,   0, , 
08:B4:B1:04:C9:11, 2024-06-24 16:50:06, 2024-06-24 16:50:15,  1, 130, WPA2, CCMP, PSK, -72,        5,        0,   0.  0.  0.  0,  16, Hogwarts Express, 
A6:DB:48:6C:31:6A, 2024-06-24 16:50:06, 2024-06-24 16:50:14,  1, 260, WPA2, CCMP, PSK, -71,        4,        0,   0.  0.  0.  0,   0, , 
B6:DB:48:6C:31:6A, 2024-06-24 16:50:06, 2024-06-24 16:50:14,  1, 260, WPA2, CCMP, MGT, -72,        5,        0,   0.  0.  0.  0,   0, , 
3E:2D:9E:8C:30:70, 2024-06-24 16:50:06, 2024-06-24 16:50:10,  1, 260, WPA2, CCMP, PSK, -65,        3,        0,   0.  0.  0.  0,   0, , 
7E:AC:B9:38:2D:9F, 2024-06-24 16:50:06, 2024-06-24 16:50:06,  1, 720, WPA3 WPA2, CCMP, SAE PSK, -72,        1,        0,   0.  0.  0.  0,   0, , 
FA:8F:CA:8E:BE:97, 2024-06-24 16:50:07, 2024-06-24 16:50:14,  6, 130, OPN, ,   , -60,        7,        0,   0.  0.  0.  0,  21, JBL Bar 5.1_8852.l025, 
64:52:99:D7:B0:8E, 2024-06-24 16:50:08, 2024-06-24 16:50:14, 10,  -1, , ,   , -65,        0,        0,   0.  0.  0.  0,   0, , 
1E:9E:CC:5A:0E:6B, 2024-06-24 16:50:09, 2024-06-24 16:50:09, 11, 260, WPA2, CCMP, PSK, -35,        1,        0,   0.  0.  0.  0,   0, , 
4A:4B:D4:65:EE:69, 2024-06-24 16:50:09, 2024-06-24 16:50:14, 11, 260, WPA2, CCMP, MGT, -43,        3,        0,   0.  0.  0.  0,   0, , 
4A:4B:D4:65:EE:6D, 2024-06-24 16:50:10, 2024-06-24 16:50:14, 11, 260, WPA2, CCMP, PSK, -44,        3,        0,   0.  0.  0.  0,   0, , 
0C:83:CC:FA:29:E9, 2024-06-24 16:50:10, 2024-06-24 16:50:15,  6, 130, WPA2, CCMP, PSK, -72,        2,        0,   0.  0.  0.  0,   8, tlfa29e9, 
F0:B6:61:E2:F5:44, 2024-06-24 16:50:10, 2024-06-24 16:50:14,  6, 360, WPA3 WPA2, CCMP, SAE, -60,        2,        0,   0.  0.  0.  0,   0, , 
4C:01:43:F7:82:03, 2024-06-24 16:50:10, 2024-06-24 16:50:10,  6, 360, WPA3 WPA2, CCMP, SAE, -74,        1,        0,   0.  0.  0.  0,   0, , 
10:33:BF:85:EF:90, 2024-06-24 16:50:10, 2024-06-24 16:50:10,  6, 130, WPA2 WPA, CCMP, MGT, -51,        1,        0,   0.  0.  0.  0,   0, , 
18:90:88:D0:C8:C5, 2024-06-24 16:50:10, 2024-06-24 16:50:10,  6,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
56:4C:77:79:82:B7, 2024-06-24 16:50:10, 2024-06-24 16:50:10, 11, 130, WPA2 WPA, CCMP, MGT, -72,        1,        0,   0.  0.  0.  0,   0, , 
3E:2D:9E:8C:30:76, 2024-06-24 16:50:10, 2024-06-24 16:50:15,  1, 260, WPA2, CCMP, PSK, -65,        3,        0,   0.  0.  0.  0,   0, , 
74:AC:B9:38:2D:9F, 2024-06-24 16:50:10, 2024-06-24 16:50:11,  1,  -1, WPA, ,   , -73,        0,        2,   0.  0.  0.  0,   0, , 
BA:5E:71:51:B4:01, 2024-06-24 16:50:10, 2024-06-24 16:50:15,  1, 260, WPA2, CCMP, PSK, -76,        2,        0,   0.  0.  0.  0,   0, , 
44:1C:12:4D:40:BE, 2024-06-24 16:50:10, 2024-06-24 16:50:10,  1, 130, WPA2, CCMP, PSK, -80,        1,        0,   0.  0.  0.  0,   0, , 
44:1C:12:4D:40:C0, 2024-06-24 16:50:10, 2024-06-24 16:50:10,  1, 130, WPA2 WPA, CCMP, MGT, -81,        1,        0,   0.  0.  0.  0,   0, , 
3A:60:F9:C1:1A:86, 2024-06-24 16:50:11, 2024-06-24 16:50:15,  7, 270, WPA2, CCMP, PSK, -74,        4,        0,   0.  0.  0.  0,   0, , 
DA:E3:5E:4C:55:76, 2024-06-24 16:50:11, 2024-06-24 16:50:11, 11,  65, WPA2, CCMP, PSK, -73,        1,        0,   0.  0.  0.  0,  13, [LG_Oven]5576, 
B0:A7:B9:12:41:2C, 2024-06-24 16:50:11, 2024-06-24 16:50:14, 11, 130, WPA2, CCMP, PSK, -77,        1,        0,   0.  0.  0.  0,  15, Wu-Tang Lan_EXT, 
D8:EC:5E:56:71:2D, 2024-06-24 16:50:13, 2024-06-24 16:50:15,  4,  -1, WPA, ,   , -80,        0,        4,   0.  0.  0.  0,   0, , 
54:AF:97:39:50:8E, 2024-06-24 16:50:13, 2024-06-24 16:50:13,  5, 360, WPA2, CCMP, PSK, -78,        1,        0,   0.  0.  0.  0,  12, Robinson9870, 
EC:A9:40:F6:61:41, 2024-06-24 16:50:13, 2024-06-24 16:50:13, 11, 540, WPA2, CCMP, PSK, -79,        1,        0,   0.  0.  0.  0,  10, Morty WiFi, 
9C:54:DA:05:07:CC, 2024-06-24 16:50:13, 2024-06-24 16:50:14, 11,  65, OPN, ,   , -81,        2,        0,   0.  0.  0.  0,  18, Skybell_3424608164, 
28:BD:89:D0:D2:0E, 2024-06-24 16:50:13, 2024-06-24 16:50:14, 11, 130, WPA2, CCMP, PSK, -83,        2,        0,   0.  0.  0.  0,   9, PennyLane, 
5E:7A:8A:5A:25:0C, 2024-06-24 16:50:13, 2024-06-24 16:50:13, 11, 195, WPA2, CCMP TKIP, PSK, -70,        1,        0,   0.  0.  0.  0,   0, , 
94:6A:77:B9:A0:83, 2024-06-24 16:50:13, 2024-06-24 16:50:14, 11, 130, WPA2, CCMP, PSK, -79,        2,        0,   0.  0.  0.  0,   0, , 
10:33:BF:85:EF:8E, 2024-06-24 16:50:14, 2024-06-24 16:50:14,  6, 130, WPA2, CCMP, PSK, -51,        2,        0,   0.  0.  0.  0,   0, , 
60:B7:6E:68:9D:7F, 2024-06-24 16:50:14, 2024-06-24 16:50:14,  6, 130, WPA2, CCMP, PSK, -72,        1,        0,   0.  0.  0.  0,  11, Chavez Nest, 
1A:5F:67:70:6E:30, 2024-06-24 16:50:14, 2024-06-24 16:50:14,  6, 270, WPA2, CCMP, PSK, -75,        2,        0,   0.  0.  0.  0,  10, BretzingTH, 
1A:5F:67:70:6E:37, 2024-06-24 16:50:14, 2024-06-24 16:50:14,  6, 270, WPA2, CCMP, PSK, -75,        1,        0,   0.  0.  0.  0,   0, , 
DA:94:70:E1:E2:B9, 2024-06-24 16:50:14, 2024-06-24 16:50:14,  6, 360, WPA2, CCMP, PSK, -79,        1,        0,   0.  0.  0.  0,   0, , 
0A:5F:67:70:B0:7B, 2024-06-24 16:50:14, 2024-06-24 16:50:14,  6, 270, WPA2, CCMP, PSK, -84,        1,        0,   0.  0.  0.  0,   0, , 
0A:5F:67:70:B0:7C, 2024-06-24 16:50:14, 2024-06-24 16:50:14,  6,  -1, WPA, ,   , -84,        0,        1,   0.  0.  0.  0,   0, , 
60:5F:8D:E3:34:61, 2024-06-24 16:50:14, 2024-06-24 16:50:14,  6, 360, WPA3 WPA2, CCMP, SAE, -77,        1,        0,   0.  0.  0.  0,   0, , 
84:17:EF:EC:03:A6, 2024-06-24 16:50:14, 2024-06-24 16:50:14,  1, 130, WPA2, CCMP, PSK, -78,        1,        0,   0.  0.  0.  0,   0, , 
0C:83:CC:CD:60:C1, 2024-06-24 16:50:14, 2024-06-24 16:50:14,  1, 130, WPA2, CCMP, PSK, -76,        0,        0,   0.  0.  0.  0,   8, tlcd60c1, 
1C:93:7C:56:C8:4F, 2024-06-24 16:50:14, 2024-06-24 16:50:14,  1, 260, WPA2, CCMP, PSK, -77,        1,        0,   0.  0.  0.  0,   6, Montel, 
14:EB:B6:10:CC:62, 2024-06-24 16:50:16, 2024-06-24 16:50:16,  3,  -1, WPA, ,   , -79,        0,        1,   0.  0.  0.  0,   0, , 

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
84:E6:57:2F:2D:31, 2024-06-24 16:50:02, 2024-06-24 16:50:02, -71,        1, 56:A6:E6:C0:9E:70,
64:52:99:D7:B0:8E, 2024-06-24 16:50:02, 2024-06-24 16:50:16, -59,       35, (not associated) ,Oh_Very_Awesome
4E:47:3A:5C:BA:06, 2024-06-24 16:50:02, 2024-06-24 16:50:02, -50,        1, (not associated) ,8 Cow Wifi
E2:63:FA:3D:D7:F6, 2024-06-24 16:50:02, 2024-06-24 16:50:15, -68,       10, 04:BC:9F:8E:7E:36,
40:CA:63:85:2C:A8, 2024-06-24 16:50:03, 2024-06-24 16:50:14, -74,       19, 3C:7A:8A:5A:25:0C,
8C:79:F5:BE:F9:E1, 2024-06-24 16:50:03, 2024-06-24 16:50:03, -38,        1, B8:94:70:87:2B:DA,
64:52:99:D7:B0:83, 2024-06-24 16:50:03, 2024-06-24 16:50:15, -73,       16, (not associated) ,Our Family Network
C8:7F:54:40:62:B8, 2024-06-24 16:50:03, 2024-06-24 16:50:03, -77,        1, (not associated) ,
2C:FD:B3:26:F4:08, 2024-06-24 16:50:04, 2024-06-24 16:50:04, -70,        3, (not associated) ,
64:52:99:D7:B0:87, 2024-06-24 16:50:04, 2024-06-24 16:50:15, -77,        9, (not associated) ,Voltron
64:52:99:D7:B0:8F, 2024-06-24 16:50:04, 2024-06-24 16:50:16, -66,       15, (not associated) ,kdkyt
4C:60:BA:0C:40:53, 2024-06-24 16:50:05, 2024-06-24 16:50:09, -53,       23, 1E:9E:CC:5A:0E:6A,
88:57:1D:B5:05:6A, 2024-06-24 16:50:05, 2024-06-24 16:50:14, -81,       11, 3C:7A:8A:5A:25:0C,
64:52:99:D7:B0:A4, 2024-06-24 16:50:05, 2024-06-24 16:50:11, -77,        4, (not associated) ,Myfi
4C:60:BA:0C:26:5C, 2024-06-24 16:50:05, 2024-06-24 16:50:05, -64,        1, 1E:9E:CC:5A:0E:6A,
50:8A:06:01:28:FD, 2024-06-24 16:50:06, 2024-06-24 16:50:14, -60,        5, 56:A6:E6:C0:9E:70,
54:EF:33:7F:2F:E6, 2024-06-24 16:50:06, 2024-06-24 16:50:14,  -1,        3, BA:5E:71:51:B4:06,
A4:EF:15:7F:27:BB, 2024-06-24 16:50:06, 2024-06-24 16:50:06,  -1,        2, BA:5E:71:51:B4:06,
84:E3:42:88:39:C1, 2024-06-24 16:50:06, 2024-06-24 16:50:14, -54,        3, E8:9F:80:76:AE:34,
D8:A3:5C:EC:11:2E, 2024-06-24 16:50:08, 2024-06-24 16:50:08, -60,        1, 4A:4B:D4:65:EE:6C,
48:78:5E:4D:6B:A3, 2024-06-24 16:50:08, 2024-06-24 16:50:15, -81,        7, (not associated) ,
B2:A7:B9:02:41:2C, 2024-06-24 16:50:10, 2024-06-24 16:50:10, -77,        1, 3E:82:C0:EA:BB:DB,
40:4C:77:79:82:B7, 2024-06-24 16:50:10, 2024-06-24 16:50:10, -75,        1, (not associated) ,Busty21
A4:97:5C:9F:A8:F0, 2024-06-24 16:50:13, 2024-06-24 16:50:13,  -1,        4, D8:EC:5E:56:71:2D,
64:52:99:D8:20:A1, 2024-06-24 16:50:14, 2024-06-24 16:50:15,  -1,       22, CA:06:C3:2F:A4:34,
34:13:43:0E:F3:A7, 2024-06-24 16:50:15, 2024-06-24 16:50:15,  -1,        1, BA:5E:71:51:B4:06,
00:D0:6E:A3:21:50, 2024-06-24 16:50:15, 2024-06-24 16:50:15, -77,        1, D8:EC:5E:56:71:2D,

